timestep,reward
104760251,5.1959
104977864,5.1251
105198876,5.6528
105415002,5.1491
105632557,5.5183
105850630,5.4032
106067378,5.6803
106285394,5.4281
106501149,5.5794
106717358,5.2421
106934032,5.5719
107151419,5.2627
107369336,5.1556
107587345,4.18
107805196,4.6231
108025167,5.3396
108243383,5.5701
108458469,5.82
108673989,5.3895
108894808,4.7114
109113569,5.0079
109332564,5.2042
109551975,4.8211
109771353,5.3973
